"Sample","Mother","Father","Mixed","Spontaneous","Total"
"Sample_14",0.411,0.108,0.31,0.171,1
"Sample_18",0.266,0.115,0.426,0.193,1
"Sample_19",0.286,0.101,0.441,0.172,1
"Sample_20",0.25,0.149,0.408,0.193,1
"Sample_21",0.246,0.091,0.257,0.406,1
"Sample_4",0.239,0.083,0.404,0.273,0.999
"Sample_5",0.305,0.093,0.399,0.203,1
"Sample_6",0.235,0.359,0.207,0.2,1.001
"Sample_7",0.326,0.064,0.47,0.14,1
"Sample_8",0.292,0.074,0.273,0.361,1
"Sample_c41",0.267,0.115,0.476,0.142,1
"Sample_c42",0.334,0.084,0.426,0.156,1
"Sample_c45",0.322,0.081,0.474,0.123,1
"Sample_c47",0.307,0.079,0.439,0.176,1.001
"Sample_c48",0.315,0.082,0.466,0.136,0.999
"Sample_c51",0.269,0.091,0.47,0.17,1
"Sample_c52",0.321,0.089,0.476,0.115,1.001
"Sample_c54",0.274,0.092,0.486,0.148,1
"Sample_c57",0.299,0.072,0.449,0.179,0.999
"Sample_c61",0.321,0.091,0.425,0.163,1
"Sample_c62",0.325,0.092,0.467,0.116,1
"Sample_c63",0.492,0.048,0.275,0.185,1
"Sample_c64",0.314,0.04,0.529,0.117,1
"Sample_c65",0.233,0.409,0.195,0.163,1
"Sample_c66",0.298,0.123,0.407,0.172,1
"Sample_c73",0.227,0.08,0.459,0.234,1
"Sample_c81",0.257,0.097,0.413,0.233,1
"Sample_c82",0.289,0.078,0.479,0.155,1.001
"Sample_c83",0.438,0.101,0.356,0.105,1
"Sample_c84",0.271,0.106,0.451,0.172,1
"Sample_c85",0.437,0.126,0.276,0.161,1
"Sample_c87",0.288,0.114,0.486,0.112,1
"Sample_c88",0.271,0.14,0.415,0.174,1
"Sample_c89",0.243,0.128,0.509,0.121,1.001
"Sample_c90",0.254,0.137,0.449,0.159,0.999
"Sample_c91",0.288,0.103,0.451,0.158,1
"Sample_c92",0.316,0.071,0.497,0.115,0.999
"Sample_c93",0.315,0.116,0.501,0.068,1
"Sample_c94",0.323,0.143,0.471,0.063,1
"Sample_c95",0.287,0.158,0.398,0.157,1
